"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0032094~response to food"	-0.182395482110731	1	213	11	0
"GO:0042523~positive regulation of tyrosine phosphorylation of Stat5 protein"	-0.182395482110731	1	213	15	0
"GO:0006809~nitric oxide biosynthetic process"	-0.182395482110731	1	213	15	0
"GO:0006527~arginine catabolic process"	-0.182395482110731	1	213	10	0
"GO:0045579~positive regulation of B cell differentiation"	-0.182395482110731	1	213	10	0
"GO:0003333~amino acid transmembrane transport"	-0.182395482110731	1	213	17	0
"GO:0032456~endocytic recycling"	-0.182395482110731	1	213	10	0
"GO:0060445~branching involved in salivary gland morphogenesis"	-0.182395482110731	1	213	13	0
"GO:0007062~sister chromatid cohesion"	-0.182395482110731	1	213	13	0
"GO:0007076~mitotic chromosome condensation"	-0.182395482110731	1	213	13	0
"GO:0003281~ventricular septum development"	-0.182395482110731	1	213	14	0
"GO:0003151~outflow tract morphogenesis"	-0.182395482110731	1	213	33	0
"GO:0090102~cochlea development"	-0.182395482110731	1	213	11	0
"GO:0009268~response to pH"	-0.182395482110731	1	213	14	0
"GO:0045909~positive regulation of vasodilation"	-0.182395482110731	1	213	17	0
"GO:0010596~negative regulation of endothelial cell migration"	-0.182395482110731	1	213	10	0
"GO:0042448~progesterone metabolic process"	-0.182395482110731	1	213	12	0
"GO:0007422~peripheral nervous system development"	-0.182395482110731	1	213	34	0
"GO:0006637~acyl-CoA metabolic process"	-0.182395482110731	1	213	17	0
"GO:0060484~lung-associated mesenchyme development"	-0.182395482110731	1	213	10	0
"GO:0055015~ventricular cardiac muscle cell development"	-0.182395482110731	1	213	10	0
"GO:0060045~positive regulation of cardiac muscle cell proliferation"	-0.182395482110731	1	213	15	0
"GO:0014075~response to amine stimulus"	-0.182395482110731	1	213	10	0
"GO:0006000~fructose metabolic process"	-0.182395482110731	1	213	11	0
"GO:0009743~response to carbohydrate stimulus"	-0.182395482110731	1	213	11	0
"GO:0050427~3'-phosphoadenosine 5'-phosphosulfate metabolic process"	-0.182395482110731	1	213	14	0
"GO:0001947~heart looping"	-0.182395482110731	1	213	42	0
"GO:0006044~N-acetylglucosamine metabolic process"	-0.182395482110731	1	213	15	0
"GO:0045921~positive regulation of exocytosis"	-0.182395482110731	1	213	13	0
"GO:0009395~phospholipid catabolic process"	-0.182395482110731	1	213	16	0
"GO:0045765~regulation of angiogenesis"	-0.182395482110731	1	213	24	0
"GO:0050672~negative regulation of lymphocyte proliferation"	-0.182395482110731	1	213	12	0
"GO:0055010~ventricular cardiac muscle tissue morphogenesis"	-0.182395482110731	1	213	26	0
"GO:0060047~heart contraction"	-0.182395482110731	1	213	10	0
"GO:0055003~cardiac myofibril assembly"	-0.182395482110731	1	213	10	0
"GO:0010038~response to metal ion"	-0.182395482110731	1	213	18	0
"GO:0046580~negative regulation of Ras protein signal transduction"	-0.182395482110731	1	213	17	0
"GO:0032320~positive regulation of Ras GTPase activity"	-0.182395482110731	1	213	18	0
"GO:0060716~labyrinthine layer blood vessel development"	-0.182395482110731	1	213	13	0
"GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway"	-0.182395482110731	1	213	35	0
"GO:0033327~Leydig cell differentiation"	-0.182395482110731	1	213	14	0
"GO:0033197~response to vitamin E"	-0.182395482110731	1	213	10	0
"GO:0009416~response to light stimulus"	-0.182395482110731	1	213	19	0
"GO:0042327~positive regulation of phosphorylation"	-0.182395482110731	1	213	29	0
"GO:0035162~embryonic hemopoiesis"	-0.182395482110731	1	213	19	0
"GO:0007140~male meiosis"	-0.182395482110731	1	213	15	0
"GO:0031047~gene silencing by RNA"	-0.182395482110731	1	213	18	0
"GO:0043046~DNA methylation involved in gamete generation"	-0.182395482110731	1	213	12	0
"GO:0008631~induction of apoptosis by oxidative stress"	-0.182395482110731	1	213	11	0
"GO:0007435~salivary gland morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0042474~middle ear morphogenesis"	-0.182395482110731	1	213	24	0
"GO:0048704~embryonic skeletal system morphogenesis"	-0.182395482110731	1	213	54	0
"GO:0001656~metanephros development"	-0.182395482110731	1	213	39	0
"GO:0031589~cell-substrate adhesion"	-0.182395482110731	1	213	10	0
"GO:0046827~positive regulation of protein export from nucleus"	-0.182395482110731	1	213	11	0
"GO:0019079~viral genome replication"	-0.182395482110731	1	213	12	0
"GO:0001961~positive regulation of cytokine-mediated signaling pathway"	-0.182395482110731	1	213	10	0
"GO:0048730~epidermis morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0042246~tissue regeneration"	-0.182395482110731	1	213	25	0
"GO:0001676~long-chain fatty acid metabolic process"	-0.182395482110731	1	213	11	0
"GO:0000239~pachytene"	-0.182395482110731	1	213	10	0
"GO:0035265~organ growth"	-0.182395482110731	1	213	17	0
"GO:0050905~neuromuscular process"	-0.182395482110731	1	213	18	0
"GO:0040015~negative regulation of multicellular organism growth"	-0.182395482110731	1	213	10	0
"GO:0021702~cerebellar Purkinje cell differentiation"	-0.182395482110731	1	213	10	0
"GO:0048872~homeostasis of number of cells"	-0.182395482110731	1	213	12	0
"GO:0051567~histone H3-K9 methylation"	-0.182395482110731	1	213	10	0
"GO:0048260~positive regulation of receptor-mediated endocytosis"	-0.182395482110731	1	213	13	0
"GO:0008334~histone mRNA metabolic process"	-0.182395482110731	1	213	12	0
"GO:0019752~carboxylic acid metabolic process"	-0.182395482110731	1	213	10	0
"GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway"	-0.182395482110731	1	213	20	0
"GO:0040037~negative regulation of fibroblast growth factor receptor signaling pathway"	-0.182395482110731	1	213	10	0
"GO:0002040~sprouting angiogenesis"	-0.182395482110731	1	213	16	0
"GO:0010763~positive regulation of fibroblast migration"	-0.182395482110731	1	213	10	0
"GO:0030194~positive regulation of blood coagulation"	-0.182395482110731	1	213	11	0
"GO:0042535~positive regulation of tumor necrosis factor biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0043032~positive regulation of macrophage activation"	-0.182395482110731	1	213	10	0
"GO:0030838~positive regulation of actin filament polymerization"	-0.182395482110731	1	213	30	0
"GO:0032230~positive regulation of synaptic transmission, GABAergic"	-0.182395482110731	1	213	11	0
"GO:0007252~I-kappaB phosphorylation"	-0.182395482110731	1	213	12	0
"GO:0008299~isoprenoid biosynthetic process"	-0.182395482110731	1	213	15	0
"GO:0071397~cellular response to cholesterol"	-0.182395482110731	1	213	10	0
"GO:0008625~induction of apoptosis via death domain receptors"	-0.182395482110731	1	213	21	0
"GO:0001952~regulation of cell-matrix adhesion"	-0.182395482110731	1	213	13	0
"GO:0048813~dendrite morphogenesis"	-0.182395482110731	1	213	24	0
"GO:2000311~regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity"	-0.182395482110731	1	213	15	0
"GO:0001502~cartilage condensation"	-0.182395482110731	1	213	21	0
"GO:0035116~embryonic hindlimb morphogenesis"	-0.182395482110731	1	213	32	0
"GO:0001964~startle response"	-0.182395482110731	1	213	11	0
"GO:0051930~regulation of sensory perception of pain"	-0.182395482110731	1	213	19	0
"GO:0001967~suckling behavior"	-0.182395482110731	1	213	13	0
"GO:0006337~nucleosome disassembly"	-0.182395482110731	1	213	16	0
"GO:0043923~positive regulation by host of viral transcription"	-0.182395482110731	1	213	10	0
"GO:0042130~negative regulation of T cell proliferation"	-0.182395482110731	1	213	33	0
"GO:0032508~DNA duplex unwinding"	-0.182395482110731	1	213	23	0
"GO:0050708~regulation of protein secretion"	-0.182395482110731	1	213	10	0
"GO:0000045~autophagic vacuole assembly"	-0.182395482110731	1	213	25	0
"GO:0006098~pentose-phosphate shunt"	-0.182395482110731	1	213	15	0
"GO:0002027~regulation of heart rate"	-0.182395482110731	1	213	14	0
"GO:0043129~surfactant homeostasis"	-0.182395482110731	1	213	11	0
"GO:0016051~carbohydrate biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0046784~intronless viral mRNA export from host nucleus"	-0.182395482110731	1	213	13	0
"GO:0006476~protein deacetylation"	-0.182395482110731	1	213	12	0
"GO:0006342~chromatin silencing"	-0.182395482110731	1	213	10	0
"GO:0060766~negative regulation of androgen receptor signaling pathway"	-0.182395482110731	1	213	11	0
"GO:0021522~spinal cord motor neuron differentiation"	-0.182395482110731	1	213	12	0
"GO:0003148~outflow tract septum morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0003007~heart morphogenesis"	-0.182395482110731	1	213	41	0
"GO:0033365~protein localization to organelle"	-0.182395482110731	1	213	12	0
"GO:0042462~eye photoreceptor cell development"	-0.182395482110731	1	213	15	0
"GO:0042136~neurotransmitter biosynthetic process"	-0.182395482110731	1	213	12	0
"GO:0001935~endothelial cell proliferation"	-0.182395482110731	1	213	11	0
"GO:0015684~ferrous iron transport"	-0.182395482110731	1	213	17	0
"GO:0007191~adenylate cyclase-activating dopamine receptor signaling pathway"	-0.182395482110731	1	213	10	0
"GO:0042438~melanin biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0048255~mRNA stabilization"	-0.182395482110731	1	213	13	0
"GO:0007051~spindle organization"	-0.182395482110731	1	213	17	0
"GO:0046928~regulation of neurotransmitter secretion"	-0.182395482110731	1	213	16	0
"GO:0048514~blood vessel morphogenesis"	-0.182395482110731	1	213	25	0
"GO:0001946~lymphangiogenesis"	-0.182395482110731	1	213	12	0
"GO:0001945~lymph vessel development"	-0.182395482110731	1	213	12	0
"GO:0009987~cellular process"	-0.182395482110731	1	213	26	0
"GO:0006069~ethanol oxidation"	-0.182395482110731	1	213	10	0
"GO:0019059~initiation of viral infection"	-0.182395482110731	1	213	12	0
"GO:0055072~iron ion homeostasis"	-0.182395482110731	1	213	22	0
"GO:0060664~epithelial cell proliferation involved in salivary gland morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0071347~cellular response to interleukin-1"	-0.182395482110731	1	213	30	0
"GO:0021854~hypothalamus development"	-0.182395482110731	1	213	13	0
"GO:0060039~pericardium development"	-0.182395482110731	1	213	10	0
"GO:0045214~sarcomere organization"	-0.182395482110731	1	213	20	0
"GO:0055007~cardiac muscle cell differentiation"	-0.182395482110731	1	213	23	0
"GO:0015939~pantothenate metabolic process"	-0.182395482110731	1	213	11	0
"GO:0007342~fusion of sperm to egg plasma membrane"	-0.182395482110731	1	213	10	0
"GO:0060079~regulation of excitatory postsynaptic membrane potential"	-0.182395482110731	1	213	26	0
"GO:0048167~regulation of synaptic plasticity"	-0.182395482110731	1	213	29	0
"GO:0051881~regulation of mitochondrial membrane potential"	-0.182395482110731	1	213	11	0
"GO:0001963~synaptic transmission, dopaminergic"	-0.182395482110731	1	213	13	0
"GO:0030166~proteoglycan biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0006790~sulfur compound metabolic process"	-0.182395482110731	1	213	13	0
"GO:0007600~sensory perception"	-0.182395482110731	1	213	11	0
"GO:0042026~protein refolding"	-0.182395482110731	1	213	10	0
"GO:0030878~thyroid gland development"	-0.182395482110731	1	213	21	0
"GO:0050930~induction of positive chemotaxis"	-0.182395482110731	1	213	17	0
"GO:0060174~limb bud formation"	-0.182395482110731	1	213	11	0
"GO:0001823~mesonephros development"	-0.182395482110731	1	213	14	0
"GO:0046579~positive regulation of Ras protein signal transduction"	-0.182395482110731	1	213	16	0
"GO:0034394~protein localization at cell surface"	-0.182395482110731	1	213	18	0
"GO:0035108~limb morphogenesis"	-0.182395482110731	1	213	23	0
"GO:0060425~lung morphogenesis"	-0.182395482110731	1	213	14	0
"GO:0060173~limb development"	-0.182395482110731	1	213	21	0
"GO:0033762~response to glucagon stimulus"	-0.182395482110731	1	213	11	0
"GO:0007080~mitotic metaphase plate congression"	-0.182395482110731	1	213	10	0
"GO:0032755~positive regulation of interleukin-6 production"	-0.182395482110731	1	213	34	0
"GO:0032722~positive regulation of chemokine production"	-0.182395482110731	1	213	18	0
"GO:0045671~negative regulation of osteoclast differentiation"	-0.182395482110731	1	213	18	0
"GO:0051298~centrosome duplication"	-0.182395482110731	1	213	13	0
"GO:0009306~protein secretion"	-0.182395482110731	1	213	18	0
"GO:0006487~protein N-linked glycosylation"	-0.182395482110731	1	213	21	0
"GO:0071425~hemopoietic stem cell proliferation"	-0.182395482110731	1	213	12	0
"GO:0010719~negative regulation of epithelial to mesenchymal transition"	-0.182395482110731	1	213	13	0
"GO:0035413~positive regulation of catenin import into nucleus"	-0.182395482110731	1	213	12	0
"GO:0090179~planar cell polarity pathway involved in neural tube closure"	-0.182395482110731	1	213	13	0
"GO:0031032~actomyosin structure organization"	-0.182395482110731	1	213	11	0
"GO:0000070~mitotic sister chromatid segregation"	-0.182395482110731	1	213	17	0
"GO:0034613~cellular protein localization"	-0.182395482110731	1	213	36	0
"GO:0045663~positive regulation of myoblast differentiation"	-0.182395482110731	1	213	11	0
"GO:2000145~regulation of cell motility"	-0.182395482110731	1	213	11	0
"GO:0050901~leukocyte tethering or rolling"	-0.182395482110731	1	213	12	0
"GO:0007339~binding of sperm to zona pellucida"	-0.182395482110731	1	213	15	0
"GO:0019933~cAMP-mediated signaling"	-0.182395482110731	1	213	20	0
"GO:0045987~positive regulation of smooth muscle contraction"	-0.182395482110731	1	213	15	0
"GO:0007194~negative regulation of adenylate cyclase activity"	-0.182395482110731	1	213	23	0
"GO:0006195~purine nucleotide catabolic process"	-0.182395482110731	1	213	11	0
"GO:0034080~CenH3-containing nucleosome assembly at centromere"	-0.182395482110731	1	213	29	0
"GO:0000085~G2 phase of mitotic cell cycle"	-0.182395482110731	1	213	10	0
"GO:0001779~natural killer cell differentiation"	-0.182395482110731	1	213	12	0
"GO:0060068~vagina development"	-0.182395482110731	1	213	11	0
"GO:0042220~response to cocaine"	-0.182395482110731	1	213	23	0
"GO:0060071~Wnt receptor signaling pathway, planar cell polarity pathway"	-0.182395482110731	1	213	11	0
"GO:0043406~positive regulation of MAP kinase activity"	-0.182395482110731	1	213	37	0
"GO:0045662~negative regulation of myoblast differentiation"	-0.182395482110731	1	213	10	0
"GO:0043029~T cell homeostasis"	-0.182395482110731	1	213	19	0
"GO:0071549~cellular response to dexamethasone stimulus"	-0.182395482110731	1	213	10	0
"GO:0030279~negative regulation of ossification"	-0.182395482110731	1	213	16	0
"GO:0032967~positive regulation of collagen biosynthetic process"	-0.182395482110731	1	213	18	0
"GO:0035066~positive regulation of histone acetylation"	-0.182395482110731	1	213	13	0
"GO:0022408~negative regulation of cell-cell adhesion"	-0.182395482110731	1	213	14	0
"GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity"	-0.182395482110731	1	213	24	0
"GO:0031334~positive regulation of protein complex assembly"	-0.182395482110731	1	213	16	0
"GO:0032740~positive regulation of interleukin-17 production"	-0.182395482110731	1	213	11	0
"GO:0010718~positive regulation of epithelial to mesenchymal transition"	-0.182395482110731	1	213	19	0
"GO:0050868~negative regulation of T cell activation"	-0.182395482110731	1	213	13	0
"GO:0009607~response to biotic stimulus"	-0.182395482110731	1	213	11	0
"GO:0032703~negative regulation of interleukin-2 production"	-0.182395482110731	1	213	10	0
"GO:0007512~adult heart development"	-0.182395482110731	1	213	14	0
"GO:0006825~copper ion transport"	-0.182395482110731	1	213	14	0
"GO:0035872~nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway"	-0.182395482110731	1	213	42	0
"GO:0048856~anatomical structure development"	-0.182395482110731	1	213	10	0
"GO:0006878~cellular copper ion homeostasis"	-0.182395482110731	1	213	11	0
"GO:0019725~cellular homeostasis"	-0.182395482110731	1	213	11	0
"GO:0046325~negative regulation of glucose import"	-0.182395482110731	1	213	10	0
"GO:0071285~cellular response to lithium ion"	-0.182395482110731	1	213	16	0
"GO:0006349~regulation of gene expression by genetic imprinting"	-0.182395482110731	1	213	15	0
"GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c"	-0.182395482110731	1	213	10	0
"GO:0035137~hindlimb morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0072001~renal system development"	-0.182395482110731	1	213	13	0
"GO:0042640~anagen"	-0.182395482110731	1	213	11	0
"GO:0008637~apoptotic mitochondrial changes"	-0.182395482110731	1	213	14	0
"GO:0051146~striated muscle cell differentiation"	-0.182395482110731	1	213	15	0
"GO:0043981~histone H4-K5 acetylation"	-0.182395482110731	1	213	14	0
"GO:0043982~histone H4-K8 acetylation"	-0.182395482110731	1	213	14	0
"GO:0050806~positive regulation of synaptic transmission"	-0.182395482110731	1	213	16	0
"GO:0006536~glutamate metabolic process"	-0.182395482110731	1	213	11	0
"GO:0048699~generation of neurons"	-0.182395482110731	1	213	18	0
"GO:0045778~positive regulation of ossification"	-0.182395482110731	1	213	14	0
"GO:0048703~embryonic viscerocranium morphogenesis"	-0.182395482110731	1	213	11	0
"GO:0009635~response to herbicide"	-0.182395482110731	1	213	10	0
"GO:0060992~response to fungicide"	-0.182395482110731	1	213	10	0
"GO:0030539~male genitalia development"	-0.182395482110731	1	213	20	0
"GO:0006702~androgen biosynthetic process"	-0.182395482110731	1	213	11	0
"GO:0071371~cellular response to gonadotropin stimulus"	-0.182395482110731	1	213	11	0
"GO:0035094~response to nicotine"	-0.182395482110731	1	213	28	0
"GO:0048484~enteric nervous system development"	-0.182395482110731	1	213	16	0
"GO:0000050~urea cycle"	-0.182395482110731	1	213	10	0
"GO:0030225~macrophage differentiation"	-0.182395482110731	1	213	13	0
"GO:0045078~positive regulation of interferon-gamma biosynthetic process"	-0.182395482110731	1	213	12	0
"GO:0006625~protein targeting to peroxisome"	-0.182395482110731	1	213	10	0
"GO:0006839~mitochondrial transport"	-0.182395482110731	1	213	14	0
"GO:0050910~detection of mechanical stimulus involved in sensory perception of sound"	-0.182395482110731	1	213	12	0
"GO:0001706~endoderm formation"	-0.182395482110731	1	213	14	0
"GO:0021879~forebrain neuron differentiation"	-0.182395482110731	1	213	10	0
"GO:0050953~sensory perception of light stimulus"	-0.182395482110731	1	213	12	0
"GO:0017157~regulation of exocytosis"	-0.182395482110731	1	213	16	0
"GO:0006590~thyroid hormone generation"	-0.182395482110731	1	213	13	0
"GO:0060416~response to growth hormone stimulus"	-0.182395482110731	1	213	10	0
"GO:0016601~Rac protein signal transduction"	-0.182395482110731	1	213	14	0
"GO:0051297~centrosome organization"	-0.182395482110731	1	213	18	0
"GO:0001829~trophectodermal cell differentiation"	-0.182395482110731	1	213	14	0
"GO:0060216~definitive hemopoiesis"	-0.182395482110731	1	213	13	0
"GO:0030224~monocyte differentiation"	-0.182395482110731	1	213	17	0
"GO:0000185~activation of MAPKKK activity"	-0.182395482110731	1	213	10	0
"GO:0006509~membrane protein ectodomain proteolysis"	-0.182395482110731	1	213	18	0
"GO:0031293~membrane protein intracellular domain proteolysis"	-0.182395482110731	1	213	12	0
"GO:0048709~oligodendrocyte differentiation"	-0.182395482110731	1	213	20	0
"GO:0003009~skeletal muscle contraction"	-0.182395482110731	1	213	15	0
"GO:0001775~cell activation"	-0.182395482110731	1	213	11	0
"GO:0031622~positive regulation of fever generation"	-0.182395482110731	1	213	11	0
"GO:0045416~positive regulation of interleukin-8 biosynthetic process"	-0.182395482110731	1	213	11	0
"GO:0015949~nucleobase-containing small molecule interconversion"	-0.182395482110731	1	213	19	0
"GO:0016226~iron-sulfur cluster assembly"	-0.182395482110731	1	213	10	0
"GO:0006471~protein ADP-ribosylation"	-0.182395482110731	1	213	19	0
"GO:0071276~cellular response to cadmium ion"	-0.182395482110731	1	213	13	0
"GO:0018298~protein-chromophore linkage"	-0.182395482110731	1	213	12	0
"GO:0035115~embryonic forelimb morphogenesis"	-0.182395482110731	1	213	24	0
"GO:0008037~cell recognition"	-0.182395482110731	1	213	13	0
"GO:0048935~peripheral nervous system neuron development"	-0.182395482110731	1	213	10	0
"GO:0035136~forelimb morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0030041~actin filament polymerization"	-0.182395482110731	1	213	18	0
"GO:0071346~cellular response to interferon-gamma"	-0.182395482110731	1	213	24	0
"GO:0006198~cAMP catabolic process"	-0.182395482110731	1	213	15	0
"GO:0006836~neurotransmitter transport"	-0.182395482110731	1	213	35	0
"GO:0090398~cellular senescence"	-0.182395482110731	1	213	14	0
"GO:0030518~intracellular steroid hormone receptor signaling pathway"	-0.182395482110731	1	213	15	0
"GO:0055008~cardiac muscle tissue morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0071526~semaphorin-plexin signaling pathway"	-0.182395482110731	1	213	15	0
"GO:0070848~response to growth factor stimulus"	-0.182395482110731	1	213	17	0
"GO:0010469~regulation of receptor activity"	-0.182395482110731	1	213	10	0
"GO:0031954~positive regulation of protein autophosphorylation"	-0.182395482110731	1	213	11	0
"GO:0034614~cellular response to reactive oxygen species"	-0.182395482110731	1	213	13	0
"GO:0006182~cGMP biosynthetic process"	-0.182395482110731	1	213	15	0
"GO:0009190~cyclic nucleotide biosynthetic process"	-0.182395482110731	1	213	18	0
"GO:0007141~male meiosis I"	-0.182395482110731	1	213	13	0
"GO:0071345~cellular response to cytokine stimulus"	-0.182395482110731	1	213	12	0
"GO:0007171~activation of transmembrane receptor protein tyrosine kinase activity"	-0.182395482110731	1	213	10	0
"GO:0001662~behavioral fear response"	-0.182395482110731	1	213	18	0
"GO:0000160~two-component signal transduction system (phosphorelay)"	-0.182395482110731	1	213	11	0
"GO:0030431~sleep"	-0.182395482110731	1	213	11	0
"GO:0007340~acrosome reaction"	-0.182395482110731	1	213	14	0
"GO:0006705~mineralocorticoid biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0042104~positive regulation of activated T cell proliferation"	-0.182395482110731	1	213	17	0
"GO:0045086~positive regulation of interleukin-2 biosynthetic process"	-0.182395482110731	1	213	13	0
"GO:0042574~retinal metabolic process"	-0.182395482110731	1	213	10	0
"GO:0015908~fatty acid transport"	-0.182395482110731	1	213	13	0
"GO:0010506~regulation of autophagy"	-0.182395482110731	1	213	15	0
"GO:0006071~glycerol metabolic process"	-0.182395482110731	1	213	15	0
"GO:0048208~COPII vesicle coating"	-0.182395482110731	1	213	15	0
"GO:0048205~COPI coating of Golgi vesicle"	-0.182395482110731	1	213	13	0
"GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway"	-0.182395482110731	1	213	10	0
"GO:0060065~uterus development"	-0.182395482110731	1	213	10	0
"GO:0045089~positive regulation of innate immune response"	-0.182395482110731	1	213	15	0
"GO:0060292~long term synaptic depression"	-0.182395482110731	1	213	10	0
"GO:0002052~positive regulation of neuroblast proliferation"	-0.182395482110731	1	213	18	0
"GO:0002092~positive regulation of receptor internalization"	-0.182395482110731	1	213	13	0
"GO:0007212~dopamine receptor signaling pathway"	-0.182395482110731	1	213	13	0
"GO:0090009~primitive streak formation"	-0.182395482110731	1	213	10	0
"GO:0030318~melanocyte differentiation"	-0.182395482110731	1	213	26	0
"GO:0048016~inositol phosphate-mediated signaling"	-0.182395482110731	1	213	11	0
"GO:0021527~spinal cord association neuron differentiation"	-0.182395482110731	1	213	14	0
"GO:0021680~cerebellar Purkinje cell layer development"	-0.182395482110731	1	213	10	0
"GO:0044344~cellular response to fibroblast growth factor stimulus"	-0.182395482110731	1	213	15	0
"GO:0007043~cell-cell junction assembly"	-0.182395482110731	1	213	12	0
"GO:0006595~polyamine metabolic process"	-0.182395482110731	1	213	16	0
"GO:0002230~positive regulation of defense response to virus by host"	-0.182395482110731	1	213	12	0
"GO:0043534~blood vessel endothelial cell migration"	-0.182395482110731	1	213	10	0
"GO:0016339~calcium-dependent cell-cell adhesion"	-0.182395482110731	1	213	14	0
"GO:0007168~receptor guanylyl cyclase signaling pathway"	-0.182395482110731	1	213	11	0
"GO:0001782~B cell homeostasis"	-0.182395482110731	1	213	15	0
"GO:0060135~maternal process involved in female pregnancy"	-0.182395482110731	1	213	15	0
"GO:0002827~positive regulation of T-helper 1 type immune response"	-0.182395482110731	1	213	10	0
"GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II"	-0.182395482110731	1	213	12	0
"GO:0042554~superoxide anion generation"	-0.182395482110731	1	213	13	0
"GO:0046620~regulation of organ growth"	-0.182395482110731	1	213	10	0
"GO:0002666~positive regulation of T cell tolerance induction"	-0.182395482110731	1	213	10	0
"GO:0019885~antigen processing and presentation of endogenous peptide antigen via MHC class I"	-0.182395482110731	1	213	13	0
"GO:0051085~chaperone mediated protein folding requiring cofactor"	-0.182395482110731	1	213	10	0
"GO:0016064~immunoglobulin mediated immune response"	-0.182395482110731	1	213	12	0
"GO:0015695~organic cation transport"	-0.182395482110731	1	213	10	0
"GO:0006882~cellular zinc ion homeostasis"	-0.182395482110731	1	213	10	0
"GO:0071577~zinc ion transmembrane transport"	-0.182395482110731	1	213	12	0
"GO:0060740~prostate gland epithelium morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0006654~phosphatidic acid biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0045022~early endosome to late endosome transport"	-0.182395482110731	1	213	13	0
"GO:0021954~central nervous system neuron development"	-0.182395482110731	1	213	15	0
"GO:0007589~body fluid secretion"	-0.182395482110731	1	213	11	0
"GO:0055012~ventricular cardiac muscle cell differentiation"	-0.182395482110731	1	213	12	0
"GO:0007020~microtubule nucleation"	-0.182395482110731	1	213	12	0
"GO:0060038~cardiac muscle cell proliferation"	-0.182395482110731	1	213	13	0
"GO:0045226~extracellular polysaccharide biosynthetic process"	-0.182395482110731	1	213	10	0
"GO:0001894~tissue homeostasis"	-0.182395482110731	1	213	16	0
"GO:0060347~heart trabecula formation"	-0.182395482110731	1	213	11	0
"GO:0001886~endothelial cell morphogenesis"	-0.182395482110731	1	213	10	0
"GO:0006703~estrogen biosynthetic process"	-0.182395482110731	1	213	14	0
"GO:0002437~inflammatory response to antigenic stimulus"	-0.182395482110731	1	213	12	0
"GO:0006228~UTP biosynthetic process"	-0.182395482110731	1	213	11	0
"GO:0006241~CTP biosynthetic process"	-0.182395482110731	1	213	12	0
"GO:0006183~GTP biosynthetic process"	-0.182395482110731	1	213	11	0
"GO:0006165~nucleoside diphosphate phosphorylation"	-0.182395482110731	1	213	11	0
"GO:0007223~Wnt receptor signaling pathway, calcium modulating pathway"	-0.182395482110731	1	213	11	0
"GO:0002548~monocyte chemotaxis"	-0.182395482110731	1	213	13	0
"GO:0043583~ear development"	-0.182395482110731	1	213	15	0
"GO:0045653~negative regulation of megakaryocyte differentiation"	-0.182395482110731	1	213	10	0
"GO:0032733~positive regulation of interleukin-10 production"	-0.182395482110731	1	213	17	0
"GO:0030833~regulation of actin filament polymerization"	-0.182395482110731	1	213	13	0
"GO:0051593~response to folic acid"	-0.182395482110731	1	213	11	0
"GO:0006693~prostaglandin metabolic process"	-0.182395482110731	1	213	12	0
"GO:0001556~oocyte maturation"	-0.182395482110731	1	213	15	0
"GO:0050919~negative chemotaxis"	-0.182395482110731	1	213	12	0
"GO:0006513~protein monoubiquitination"	-0.182395482110731	1	213	18	0
"GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway"	-0.182395482110731	1	213	25	0
"GO:0046902~regulation of mitochondrial membrane permeability"	-0.182395482110731	1	213	12	0
"GO:0043252~sodium-independent organic anion transport"	-0.182395482110731	1	213	12	0
"GO:0007215~glutamate receptor signaling pathway"	-0.182395482110731	1	213	13	0
"GO:0010812~negative regulation of cell-substrate adhesion"	-0.182395482110731	1	213	12	0
"GO:0045730~respiratory burst"	-0.182395482110731	1	213	10	0
"GO:0071294~cellular response to zinc ion"	-0.182395482110731	1	213	12	0
"GO:0007494~midgut development"	-0.182395482110731	1	213	12	0
"GO:0061303~cornea development in camera-type eye"	-0.182395482110731	1	213	10	0
"GO:0008343~adult feeding behavior"	-0.182395482110731	1	213	10	0
"GO:0046689~response to mercury ion"	-0.182395482110731	1	213	10	0
