GWASCentralALS,NeuroXFDR.05,NeuroXGWS,GWASCentralAD,Subnetwork28,Exac,Cirulli,ADMalacards,ALSMalacards,Pasterkamp,Taylor,ALSOD,ParkinsonsMalacards
,,,,,SLC38A1,,,,,,,
,,,,,IQSEC2,,,,,,,
,,,,,AKIRIN2,,,,,,,
,,,,,WASF2,,,,,,,
,,,,,ETAA1,,,,,,,
,,,,,IRF6,,,,,,,
,,,,,TFDP2,,,,,,,
,,,,,ADAD1,,,,,,,
,,,,,TBX22,,,,,,,
,,,,,ZBTB47,,,,,,,
,,,,,WNT5A,,,,,,,
,,,,,NAPA,,,,,,,
,,,,,OTUD7A,,,,,,,
,,,,,ANKRD34A,,,,,,,
,,,,,GFPT1,,,,,,,
,,,,,ZMYM2,,,,,,,
,,,,,RPL19,,,,,,,
,,,,,PITPNB,,,,,,,
,,,,,IRF2BP1,,,,,,,
,,,,,CELF4,,,,,,,
,,,,,SNAP91,,,,,,,
,,,,,ADCY9,,,,,,,
,,,,,PSMA5,,,,,,,
,,,,,UBXN4,,,,,,,
,,,,,RAP1GAP,,,,,,,
,,,,,CUL3,,,,,,,
,,,,,TCF12,,,,,,,
,,,,,ANP32A,,,,,,,
,,,,,POU2F2,,,,,,,
,,,,,IPPK,,,,,,,
,,,,,GABPA,,,,,,,
,,,,,TFE3,,,,,,,
,,,,,NAA30,,,,,,,
,,,,,KRT1,,,,,,,
,,,,,MAP7D1,,,,,,,
,,,,,RELB,,,,,,,
,,,,,RAB14,,,,,,,
,,,,,CENPB,,,,,,,
,,,,,ZBTB1,,,,,,,
,,,,,PPM1E,,,,,,,
,,,,,RAD23B,,,,,,,
,,,,,IL1RAPL2,,,,,,,
,,,,,SLC25A25,,,,,,,
,,,,,ZNF296,,,,,,,
,,,,,NOP56,,,,,,,
,,,,,HTATSF1,,,,,,,
,,,,,MEGF8,,,,,,,
,,,,,GAK,,,,,,,
,,,,,CDC40,,,,,,,
,,,,,CA10,,,,,,,
,,,,,LCP1,,,,,,,
,,,,,FAM120C,,,,,,,
,,,,,C20orf112,,,,,,,
,,,,,PCDH9,,,,,,,
,,,,,PRR5,,,,,,,
,,,,,ELAVL2,,,,,,,
,,,,,RNF121,,,,,,,
,,,,,HMGCS1,,,,,,,
,,,,,SERPING1,,,,,,,
,,,,,FGD1,,,,,,,
,,,,,SYNRG,,,,,,,
,,,,,GRIN1,,,,,,,
,,,,,CTDNEP1,,,,,,,
,,,,,REST,,,,,,,
,,,,,UCHL1,,,,,,,
,,,,,ZNF704,,,,,,,
,,,,,LPPR4,,,,,,,
,,,,,FBXO32,,,,,,,
,,,,,IPO13,,,,,,,
,,,,,PHF6,,,,,,,
,,,,,PSMB2,,,,,,,
,,,,,DENND2A,,,,,,,
,,,,,GET4,,,,,,,
,,,,,ZC3H12B,,,,,,,
,,,,,PICALM,,,,,,,
,,,,,STYX,,,,,,,
,,,,,TSNAX,,,,,,,
,,,,,DCUN1D5,,,,,,,
,,,,,EBF2,,,,,,,
,,,,,ORC2,,,,,,,
,,,,,SLC18A2,,,,,,,
,,,,,PHACTR3,,,,,,,
,,,,,FCGR1A,,,,,,,
,,,,,TBCEL,,,,,,,
,,,,,ZMAT2,,,,,,,
,,,,,FAM65B,,,,,,,
,,,,,PGK1,,,,,,,
,,,,,ARID5A,,,,,,,
,,,,,RNF165,,,,,,,
,,,,,ELOVL6,,,,,,,
,,,,,KCNN2,,,,,,,
,,,,,UBE2H,,,,,,,
,,,,,ANKRD13B,,,,,,,
,,,,,ZNF652,,,,,,,
,,,,,RAB2A,,,,,,,
,,,,,VPS26B,,,,,,,
,,,,,VDAC3,,,,,,,
,,,,,ALAS2,,,,,,,
,,,,,GIT2,,,,,,,
,,,,,SNX30,,,,,,,
,,,,,CDK1,,,,,,,
,,,,,MPPED2,,,,,,,
,,,,,CTNNA1,,,,,,,
,,,,,RABL6,,,,,,,
,,,,,SPATS2L,,,,,,,
,,,,,MAOB,,,,,,,
,,,,,LEF1,,,,,,,
,,,,,ZBTB18,,,,,,,
,,,,,RARG,,,,,,,
,,,,,HNRNPA2B1,,,,,,,
,,,,,SRF,,,,,,,
,,,,,EPS15L1,,,,,,,
,,,,,CREB1,,,,,,,
,,,,,FBXO3,,,,,,,
,,,,,LRP12,,,,,,,
,,,,,RNF123,,,,,,,
,,,,,FAM105B,,,,,,,
,,,,,HNF1A,,,,,,,
,,,,,MAPRE2,,,,,,,
,,,,,PSMC5,,,,,,,
,,,,,SORCS1,,,,,,,
,,,,,REL,,,,,,,
,,,,,FOXN1,,,,,,,
,,,,,SP2,,,,,,,
,,,,,UBE2Q1,,,,,,,
,,,,,SLC38A2,,,,,,,
,,,,,STRN,,,,,,,
,,,,,AGFG1,,,,,,,
,,,,,RER1,,,,,,,
,,,,,NFATC1,,,,,,,
,,,,,DHCR24,,,,,,,
,,,,,SNRPA1,,,,,,,
,,,,,PDGFC,,,,,,,
,,,,,JAK2,,,,,,,
,,,,,PRKRIR,,,,,,,
,,,,,ARHGAP30,,,,,,,
,,,,,IRF2BPL,,,,,,,
,,,,,TFEB,,,,,,,
,,,,,PRDM14,,,,,,,
,,,,,YBX2,,,,,,,
,,,,,PGD,,,,,,,
,,,,,TRIP13,,,,,,,
,,,,,P4HB,,,,,,,
,,,,,CLIP1,,,,,,,
,,,,,DDHD1,,,,,,,
,,,,,REPS2,,,,,,,
,,,,,FER,,,,,,,
,,,,,PLCB3,,,,,,,
,,,,,IL10RA,,,,,,,
,,,,,ERG,,,,,,,
,,,,,RRM2,,,,,,,
,,,,,SULT4A1,,,,,,,
,,,,,MAPRE1,,,,,,,
,,,,,IDH3G,,,,,,,
,,,,,PRPF31,,,,,,,
,,,,,YY1,,,,,,,
,,,,,CCDC6,,,,,,,
,,,,,SLC7A3,,,,,,,
,,,,,PAPPA,,,,,,,
,,,,,KCNIP4,,,,,,,
,,,,,DPP6,,,,,,,
,,,,,TRPC4,,,,,,,
,,,,,PRKCQ,,,,,,,
,,,,,LPGAT1,,,,,,,
,,,,,UBA3,,,,,,,
,,,,,ARAP3,,,,,,,
,,,,,PITPNC1,,,,,,,
,,,,,CUL9,,,,,,,
,,,,,BMP4,,,,,,,
,,,,,SMAD4,,,,,,,
,,,,,ATP11A,,,,,,,
,,,,,CSNK1E,,,,,,,
,,,,,SEC62,,,,,,,
,,,,,LSM14B,,,,,,,
,,,,,DCAF10,,,,,,,
,,,,,CBWD2,,,,,,,
,,,,,FAM214A,,,,,,,
,,,,,CDH4,,,,,,,
,,,,,PPARD,,,,,,,
,,,,,MAP3K13,,,,,,,
,,,,,HNRNPA1,,,,,,,
,,,,,SYT14,,,,,,,
,,,,,TAZ,,,,,,,
,,,,,G6PD,,,,,,,
,,,,,FOXO1,,,,,,,
,,,,,PRPF40A,,,,,,,
,,,,,DCLK2,,,,,,,
,,,,,MIER1,,,,,,,
,,,,,PDGFB,,,,,,,
,,,,,RIBC1,,,,,,,
,,,,,GNA11,,,,,,,
,,,,,STK38L,,,,,,,
,,,,,PSMA7,,,,,,,
,,,,,WDR45,,,,,,,
,,,,,RND1,,,,,,,
,,,,,FNBP1L,,,,,,,
,,,,,SNX6,,,,,,,
,,,,,TRIM41,,,,,,,
,,,,,TRMT5,,,,,,,
,,,,,ZNF536,,,,,,,
,,,,,CAPN15,,,,,,,
,,,,,EI24,,,,,,,
,,,,,RPS8,,,,,,,
,,,,,FAM208B,,,,,,,
,,,,,CLASRP,,,,,,,
,,,,,NACC1,,,,,,,
,,,,,MTCH1,,,,,,,
,,,,,RMND5A,,,,,,,
,,,,,OLFM2,,,,,,,
,,,,,ZC3H3,,,,,,,
,,,,,ULK1,,,,,,,
,,,,,SLC29A1,,,,,,,
,,,,,FGF13,,,,,,,
,,,,,XPNPEP1,,,,,,,
,,,,,GPR64,,,,,,,
,,,,,YWHAE,,,,,,,
,,,,,EEF1A2,,,,,,,
,,,,,SOX13,,,,,,,
,,,,,ARID3B,,,,,,,
,,,,,TBX2,,,,,,,
,,,,,GABRA1,,,,,,,
,,,,,MSI2,,,,,,,
,,,,,GDF11,,,,,,,
,,,,,FST,,,,,,,
,,,,,TOMM40,,,,,,,
,,,,,ST8SIA3,,,,,,,
,,,,,MBD6,,,,,,,
,,,,,DNAJB6,,,,,,,
,,,,,RPL18A,,,,,,,
,,,,,CX3CL1,,,,,,,
,,,,,SET,,,,,,,
,,,,,TBX21,,,,,,,
,,,,,STOX2,,,,,,,
,,,,,QKI,,,,,,,
,,,,,TFDP1,,,,,,,
,,,,,LCORL,,,,,,,
,,,,,SLC6A17,,,,,,,
,,,,,CD86,,,,,,,
,,,,,DBN1,,,,,,,
,,,,,FOXK1,,,,,,,
,,,,,RENBP,,,,,,,
,,,,,UBE2K,,,,,,,
,,,,,CCPG1,,,,,,,
,,,,,SRPX2,,,,,,,
,,,,,CDC37,,,,,,,
,,,,,RBM8A,,,,,,,
,,,,,RAB8A,,,,,,,
,,,,,PSMD6,,,,,,,
,,,,,UCK2,,,,,,,
,,,,,PAFAH1B2,,,,,,,
,,,,,ITFG1,,,,,,,
,,,,,RPS18,,,,,,,
,,,,,REPIN1,,,,,,,
,,,,,ZFAND3,,,,,,,
,,,,,WASL,,,,,,,
,,,,,NSUN2,,,,,,,
,,,,,PPAP2B,,,,,,,
,,,,,DMTN,,,,,,,
,,,,,GID8,,,,,,,
,,,,,SSBP4,,,,,,,
,,,,,FTSJ1,,,,,,,
,,,,,PGM5,,,,,,,
,,,,,DAZL,,,,,,,
,,,,,ABHD17B,,,,,,,
,,,,,CLTA,,,,,,,
,,,,,DCLK1,,,,,,,
,,,,,KCNA6,,,,,,,
,,,,,NCOA7,,,,,,,
,,,,,ZNF605,,,,,,,
,,,,,SCUBE1,,,,,,,
,,,,,MED15,,,,,,,
,,,,,TUBB3,,,,,,,
,,,,,GMEB1,,,,,,,
,,,,,WASF3,,,,,,,
,,,,,PCDH17,,,,,,,
,,,,,MNT,,,,,,,
,,,,,CCAR2,,,,,,,
,,,,,RUNDC3A,,,,,,,
,,,,,RPS13,,,,,,,
,,,,,NUP54,,,,,,,
,,,,,HNRNPAB,,,,,,,
,,,,,ELAVL1,,,,,,,
,,,,,KCTD16,,,,,,,
,,,,,F2,,,,,,,
,,,,,LPPR5,,,,,,,
,,,,,SNAP25,,,,,,,
,,,,,PPP2R2A,,,,,,,
,,,,,MBD1,,,,,,,
,,,,,RTN1,,,,,,,
,,,,,ZNF319,,,,,,,
,,,,,NAF1,,,,,,,
,,,,,SLC24A3,,,,,,,
,,,,,NR4A1,,,,,,,
,,,,,KIRREL,,,,,,,
,,,,,HAUS7,,,,,,,
,,,,,SLAIN1,,,,,,,
,,,,,VIM,,,,,,,
,,,,,ZNF398,,,,,,,
,,,,,FSTL1,,,,,,,
,,,,,PDIA3,,,,,,,
,,,,,ICMT,,,,,,,
,,,,,RAB30,,,,,,,
,,,,,NR5A2,,,,,,,
,,,,,PRKACA,,,,,,,
,,,,,NPM1,,,,,,,
,,,,,ARNT2,,,,,,,
,,,,,PRMT8,,,,,,,
,,,,,BANP,,,,,,,
,,,,,GABRG2,,,,,,,
,,,,,RBM47,,,,,,,
,,,,,FLCN,,,,,,,
,,,,,LARGE,,,,,,,
,,,,,JAZF1,,,,,,,
,,,,,CDK2,,,,,,,
,,,,,BBX,,,,,,,
,,,,,TCFL5,,,,,,,
,,,,,CACNG2,,,,,,,
,,,,,RAPH1,,,,,,,
,,,,,RBL2,,,,,,,
,,,,,IL2RG,,,,,,,
,,,,,ANP32B,,,,,,,
,,,,,RPS3,,,,,,,
,,,,,HNRNPD,,,,,,,
,,,,,TBC1D22A,,,,,,,
,,,,,TLE1,,,,,,,
,,,,,RAPGEF4,,,,,,,
,,,,,WWP1,,,,,,,
,,,,,SH2B1,,,,,,,
,,,,,NABP2,,,,,,,
,,,,,XKR6,,,,,,,
,,,,,GTF2A1,,,,,,,
,,,,,ERP44,,,,,,,
,,,,,PYGO1,,,,,,,
,,,,,CD72,,,,,,,
,,,,,SCHIP1,,,,,,,
,,,,,EPHB3,,,,,,,
,,,,,ACVR1,,,,,,,
,,,,,RPL15,,,,,,,
,,,,,DNAJB14,,,,,,,
,,,,,DMTF1,,,,,,,
,,,,,TASP1,,,,,,,
,,,,,SLC2A13,,,,,,,
,,,,,TXNL1,,,,,,,
,,,,,RAP1GAP2,,,,,,,
,,,,,RAN,,,,,,,
,,,,,NKRF,,,,,,,
,,,,,ZBTB8OS,,,,,,,
,,,,,EYA1,,,,,,,
,,,,,E2F1,,,,,,,
,,,,,RHOT1,,,,,,,
,,,,,ATXN7L3,,,,,,,
,,,,,HDAC3,,,,,,,
,,,,,MGAT2,,,,,,,
,,,,,RAB18,,,,,,,
,,,,,CBX2,,,,,,,
,,,,,TNFSF13B,,,,,,,
,,,,,KCNB2,,,,,,,
,,,,,UBE2W,,,,,,,
,,,,,CRAMP1L,,,,,,,
,,,,,EPHA6,,,,,,,
,,,,,CNOT6L,,,,,,,
,,,,,CORO1A,,,,,,,
,,,,,RHEB,,,,,,,
,,,,,KLHL15,,,,,,,
,,,,,CYP26B1,,,,,,,
,,,,,Sep-08,,,,,,,
,,,,,PPP1R8,,,,,,,
,,,,,ARHGEF7,,,,,,,
,,,,,MAZ,,,,,,,
,,,,,LRRC4C,,,,,,,
,,,,,ZFYVE1,,,,,,,
,,,,,SLC9A7,,,,,,,
,,,,,IKZF4,,,,,,,
,,,,,DRG1,,,,,,,
,,,,,AMER1,,,,,,,
,,,,,DCTN4,,,,,,,
,,,,,ABI2,,,,,,,
,,,,,CRMP1,,,,,,,
,,,,,RORA,,,,,,,
,,,,,DAGLA,,,,,,,
,,,,,HCN1,,,,,,,
,,,,,GLIS2,,,,,,,
,,,,,UBAP1,,,,,,,
,,,,,GPM6A,,,,,,,
,,,,,LMNB1,,,,,,,
,,,,,RIMS4,,,,,,,
,,,,,BACE2,,,,,,,
,,,,,TRIM3,,,,,,,
,,,,,TUBGCP3,,,,,,,
,,,,,ADD3,,,,,,,
,,,,,CDC16,,,,,,,
,,,,,PDPK1,,,,,,,
,,,,,SLC9A1,,,,,,,
,,,,,PRKCA,,,,,,,
,,,,,LINGO1,,,,,,,
,,,,,ABLIM1,,,,,,,
,,,,,ADAMTS19,,,,,,,
,,,,,MAX,,,,,,,
,,,,,RANBP10,,,,,,,
,,,,,SIRT1,,,,,,,
,,,,,FBXO41,,,,,,,
,,,,,TMEM178A,,,,,,,
,,,,,ZNF281,,,,,,,
,,,,,FAM168A,,,,,,,
,,,,,GSPT1,,,,,,,
,,,,,FBXL16,,,,,,,
,,,,,GABRA5,,,,,,,
,,,,,NEGR1,,,,,,,
,,,,,SP4,,,,,,,
,,,,,DNAJC3,,,,,,,
,,,,,LRRTM1,,,,,,,
,,,,,MAP2K6,,,,,,,
,,,,,AEBP2,,,,,,,
,,,,,IFT46,,,,,,,
,,,,,FLT3LG,,,,,,,
,,,,,BCL2L11,,,,,,,
,,,,,ODC1,,,,,,,
,,,,,GRID1,,,,,,,
,,,,,SLC30A4,,,,,,,
,,,,,HCCS,,,,,,,
,,,,,KIAA2022,,,,,,,
,,,,,CD81,,,,,,,
,,,,,CSRNP2,,,,,,,
,,,,,UBE2F,,,,,,,
,,,,,STAU2,,,,,,,
,,,,,DLGAP2,,,,,,,
,,,,,DLST,,,,,,,
,,,,,RALA,,,,,,,
,,,,,MCL1,,,,,,,
,,,,,SEC61A2,,,,,,,
,,,,,PSAP,,,,,,,
,,,,,CD79B,,,,,,,
